Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/80758/Show/Florian-Lejeune,Florian Lejeune,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",33,",  D(C)  ",37,3328	,3	,1	,5	,-	,1.8	,81.3	,2.2	,3	,6.73
https://www.whoscored.com/Players/344200/Show/Unai-N%C3%BA%C3%B1ez,Unai Núñez,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",27,",  D(C)  ",31(3),2802	,1	,-	,4	,-	,0.6	,79.9	,2.7	,-	,6.73
https://www.whoscored.com/Players/76662/Show/Jan-Oblak,Jan Oblak,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",31,",  GK  ",38,3420	,-	,-	,1	,-	,-	,70.9	,0.2	,-	,6.73
https://www.whoscored.com/Players/431509/Show/Kike-Salas,Kike Salas,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",22,",  D(C)  ",20(4),1609	,3	,-	,10	,-	,0.7	,79.1	,2.8	,-	,6.73
https://www.whoscored.com/Players/421975/Show/Yan-Couto,Yan Couto,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",22,",  D(R),M(R)  ",24(10),2246	,1	,8	,8	,-	,0.9	,82.6	,0.1	,-	,6.73
https://www.whoscored.com/Players/134893/Show/Nabil-Fekir,Nabil Fekir,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",30,",  AM(CLR),FW  ",10(9),1050	,1	,2	,1	,-	,1.5	,84.1	,0.5	,-	,6.73
https://www.whoscored.com/Players/448212/Show/Kirian-Rodr%C3%ADguez,Kirian Rodríguez,https://www.whoscored.com/Teams/838/Show/Spain-Las-Palmas,"Las Palmas, ",28,",  DMC  ",36(1),3217	,6	,2	,7	,-	,1.2	,89.5	,0.6	,5	,6.73
https://www.whoscored.com/Players/270504/Show/%C3%81lex-Remiro,Álex Remiro,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",29,",  GK  ",37,3276	,-	,-	,2	,1	,-	,74.9	,0.2	,-	,6.72
https://www.whoscored.com/Players/28186/Show/Dani-Parejo,Dani Parejo,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",35,",  M(C)  ",29(4),2588	,3	,5	,4	,-	,0.4	,90.2	,0.7	,1	,6.72
https://www.whoscored.com/Players/33866/Show/Vicente-Guaita,Vicente Guaita,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",37,",  GK  ",26(1),2402	,-	,-	,2	,-	,-	,63.3	,0.5	,2	,6.72
https://www.whoscored.com/Players/136130/Show/Conan-Ledesma,Conan Ledesma,https://www.whoscored.com/Teams/1354/Show/Spain-Cadiz,"Cadiz, ",31,",  GK  ",34,3049	,-	,-	,-	,-	,-	,54.2	,0.2	,1	,6.71
https://www.whoscored.com/Players/74603/Show/Joselu,Joselu,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",34,",  FW  ",15(19),1676	,10	,2	,1	,-	,1.9	,73.6	,1.2	,2	,6.71
https://www.whoscored.com/Players/354526/Show/Hugo-Duro,Hugo Duro,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",24,",  AM(L),FW  ",35(2),2998	,13	,2	,4	,-	,1.8	,72.3	,1.6	,2	,6.71
https://www.whoscored.com/Players/127604/Show/%C3%81ngel-Correa,Ángel Correa,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",29,",  AM(CLR),FW  ",14(18),1528	,9	,2	,3	,-	,1.3	,79.5	,0.2	,3	,6.71
https://www.whoscored.com/Players/25191/Show/Axel-Witsel,Axel Witsel,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",35,",  D(C),M(C)  ",30(5),2784	,2	,-	,5	,-	,0.2	,92.2	,1.6	,2	,6.71
https://www.whoscored.com/Players/361993/Show/Juan-Miranda,Juan Miranda,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",24,",  D(L)  ",21(4),1862	,1	,1	,8	,-	,0.6	,82.4	,1	,1	,6.70
https://www.whoscored.com/Players/401174/Show/Sergio-Arribas,Sergio Arribas,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",22,",  AM(CR)  ",22(12),2057	,9	,4	,1	,-	,1.8	,83.1	,0.6	,1	,6.70
https://www.whoscored.com/Players/135572/Show/Adri-Embarba,Adri Embarba,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",32,",  AM(CLR),FW  ",29(7),2487	,3	,2	,5	,-	,1.8	,75.6	,0.7	,-	,6.70
https://www.whoscored.com/Players/77417/Show/Nemanja-Gudelj,Nemanja Gudelj,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",32,",  D(C),M(C)  ",20(2),1744	,1	,1	,7	,-	,0.9	,86.5	,1.9	,2	,6.70
https://www.whoscored.com/Players/92691/Show/David-L%C3%B3pez,David López,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",34,",  D(C),DMC  ",25,1977	,3	,-	,4	,-	,0.6	,92.9	,1.3	,-	,6.69
https://www.whoscored.com/Players/333182/Show/Jorge-Cuenca,Jorge Cuenca,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",24,",  D(CL)  ",21(8),1963	,3	,1	,7	,-	,0.7	,84	,2.1	,1	,6.69
https://www.whoscored.com/Players/141833/Show/Rui-Silva,Rui Silva,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",30,",  GK  ",28,2476	,-	,-	,4	,-	,-	,66	,0.4	,2	,6.69
https://www.whoscored.com/Players/279711/Show/Rub%C3%A9n-Alcaraz,Rubén Alcaraz,https://www.whoscored.com/Teams/1354/Show/Spain-Cadiz,"Cadiz, ",33,",  DMC  ",36,3141	,3	,1	,14	,-	,1.3	,82.2	,1.4	,2	,6.69
https://www.whoscored.com/Players/240874/Show/David-Garc%C3%ADa,David García,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",30,",  D(C)  ",27,2336	,-	,1	,5	,-	,0.6	,83.1	,3.5	,1	,6.69
https://www.whoscored.com/Players/91200/Show/Matija-Nastasic,Matija Nastasic,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",31,",  D(C)  ",25(1),2257	,2	,-	,8	,-	,0.3	,80	,1.7	,1	,6.69
https://www.whoscored.com/Players/80764/Show/Koke,Koke,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",32,",  M(CLR)  ",32(3),2504	,-	,4	,5	,-	,0.3	,90.9	,0.5	,-	,6.69
