Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Berat Djimsiti,"Atalanta, ",31,",  D(C)  ",32(5),2832	,1	,0.2	,44.2	,87.8	,-	,2	,-	,6.80
Alexis Saelemaekers,"Bologna, ",25,",  M(LR)  ",21(9),1893	,2	,1.5	,30	,83.1	,0.8	,1.2	,0.1	,6.80
Nicolò Barella,"Inter, ",27,",  AM(C)  ",34(3),2860	,3	,1.1	,56.4	,86.4	,0.4	,2.8	,0.1	,6.79
Raoul Bellanova,"Torino, ",24,",  M(R)  ",36(1),3065	,7	,1.4	,30.3	,85.4	,1.2	,1.5	,-	,6.78
Dusan Vlahovic,"Juventus, ",24,",  FW  ",27(6),2318	,4	,0.9	,16	,71.6	,-	,0.4	,-	,6.78
Weston McKennie,"Juventus, ",25,",  D(C),M(CLR)  ",29(5),2603	,7	,1.2	,27.7	,80.8	,0.4	,0.8	,-	,6.78
Amir Rrahmani,"Napoli, ",30,",  D(CL)  ",30,2603	,-	,0.5	,74.7	,90.2	,-	,5.9	,-	,6.78
Marco Carnesecchi,"Atalanta, ",24,",  GK  ",27,2426	,-	,-	,27.1	,65.5	,-	,6.3	,-	,6.77
Aleksey Miranchuk,"Atalanta, ",28,",  M(CR),FW  ",12(15),1172	,5	,1.7	,19.9	,78	,1.3	,0.6	,-	,6.77
Pietro Terracciano,"Fiorentina, ",34,",  GK  ",33,2970	,-	,0.1	,33.5	,77.7	,-	,7.1	,-	,6.77
Mike Maignan,"AC Milan, ",29,",  GK  ",29,2610	,1	,0.1	,35.5	,82.2	,-	,5.7	,-	,6.77
Remo Freuler,"Bologna, ",32,",  DMC  ",30(2),2632	,1	,0.6	,58.3	,91.1	,-	,0.8	,-	,6.77
Ivan Ilic,"Torino, ",23,",  M(C)  ",25(6),2103	,2	,1.5	,39.8	,86.1	,1.1	,1	,-	,6.76
Lameck Banda,"Lecce, ",23,",  AM(L)  ",17(4),1360	,4	,1.1	,13.6	,82.5	,0.6	,0.4	,-	,6.76
Maduka Okoye,"Udinese, ",24,",  GK  ",21,1890	,-	,-	,19.1	,57.2	,-	,4.9	,-	,6.76
Mario Pasalic,"Atalanta, ",29,",  M(CLR),FW  ",23(11),2051	,6	,0.9	,33.2	,87.2	,-	,1.4	,0.1	,6.75
Mario Gila,"Lazio, ",23,",  D(C)  ",21,1814	,-	,0.3	,60.2	,90.2	,0.2	,4	,0.1	,6.75
Stefan Posch,"Bologna, ",27,",  D(CR)  ",29(2),2420	,2	,0.7	,57.7	,82.5	,0.2	,2.7	,-	,6.75
Fikayo Tomori,"AC Milan, ",26,",  D(CR)  ",24(2),2125	,-	,0.2	,64.4	,91.3	,-	,1.8	,-	,6.75
Johan Vásquez,"Genoa, ",25,",  D(CL)  ",32(5),2853	,1	,0.3	,33.3	,78.3	,0.1	,2	,-	,6.75
Jhon Lucumí,"Bologna, ",26,",  D(C)  ",23(6),2214	,-	,0.1	,63.4	,93.6	,-	,3.3	,-	,6.75
Radu Dragusin,"Genoa, ",22,",  D(C)  ",19,1710	,1	,0.4	,36.1	,82.8	,-	,0.9	,-	,6.75
Armand Laurienté,"Sassuolo, ",25,",  AM(LR),FW  ",35(2),2929	,4	,1.3	,20.5	,78.4	,0.6	,0.6	,-	,6.75
Vanja Milinkovic-Savic,"Torino, ",27,",  GK  ",36,3240	,-	,-	,37.7	,60.1	,-	,8.1	,-	,6.74
Yacine Adli,"AC Milan, ",23,",  M(C)  ",17(7),1413	,2	,0.9	,51.7	,88.8	,0.7	,3.3	,-	,6.74
Ivan Provedel,"Lazio, ",30,",  GK  ",30,2700	,-	,-	,30.5	,80.1	,-	,6.6	,-	,6.74
Luca Mazzitelli,"Frosinone, ",28,",  DMC  ",26(3),2223	,-	,0.4	,43.2	,77	,0.1	,2.8	,0.1	,6.74
Matteo Ruggeri,"Atalanta, ",21,",  M(L)  ",28(6),2470	,4	,0.7	,37.1	,82.3	,0.9	,1.1	,-	,6.74
Giovanni Di Lorenzo,"Napoli, ",30,",  D(CLR),M(R)  ",36,3235	,6	,1.4	,62.6	,87.1	,0.6	,2.8	,0.2	,6.73
Cristiano Biraghi,"Fiorentina, ",31,",  D(L),M(L)  ",27(2),2359	,5	,1.6	,45.3	,82.7	,1.9	,2.7	,-	,6.73
Andrea Colpani,"Monza, ",25,",  AM(CR)  ",36(2),2685	,4	,1.5	,22.5	,82.7	,1	,1.6	,0.1	,6.73
Ismaël Bennacer,"AC Milan, ",26,",  M(C)  ",13(7),1151	,2	,0.9	,38.9	,90	,0.3	,1.2	,0.2	,6.72
Alessio Romagnoli,"Lazio, ",29,",  D(CL)  ",26(3),2410	,-	,0.2	,60.3	,91.5	,-	,1.7	,-	,6.72
