Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Bafodé Diakité,"Lille, ",23,",  D(CR)  ",19(2),1697	,2	,0.6	,60	,92.3	,-	,2	,-	,6.88
Jean-Clair Todibo,"Nice, ",24,",  D(C)  ",30,2654	,2	,0.3	,82.1	,90.1	,-	,3.2	,0.1	,6.87
Benjamin Bourigeaud,"Rennes, ",30,",  M(CLR)  ",29(3),2437	,6	,2.2	,42.2	,82.1	,1.5	,3	,0.1	,6.87
Ismail Jakobs,"Monaco, ",24,",  D(L),M(L)  ",16(6),1467	,2	,0.8	,30.6	,78.3	,0.7	,0.7	,-	,6.87
Denis Zakaria,"Monaco, ",27,",  D(C),DMC  ",24(1),2142	,-	,0.4	,46.9	,91.6	,0.2	,1.3	,-	,6.87
Mory Diaw,"Clermont Foot, ",31,",  GK  ",30,2700	,-	,0.1	,37.1	,64.7	,-	,8.3	,-	,6.87
Maghnes Akliouche,"Monaco, ",22,",  AM(CR)  ",18(10),1620	,4	,1.4	,27.5	,81.9	,0.4	,0.5	,0.1	,6.87
Dante,"Nice, ",40,",  D(C)  ",32,2844	,1	,0.4	,86.9	,91.1	,-	,3.8	,0.1	,6.87
Lilian Brassier,"Brest, ",24,",  D(CL)  ",30,2679	,-	,0.2	,60.1	,83.1	,0.1	,5.8	,-	,6.86
Arnaud Nordin,"Montpellier, ",26,",  AM(CLR),FW  ",15(5),1254	,3	,1.1	,17.5	,84.8	,0.3	,0.8	,-	,6.86
Mahdi Camara,"Brest, ",26,",  D(CR),M(C)  ",26(6),2039	,3	,1	,25.1	,84	,0.4	,0.8	,-	,6.86
Samuel Gigot,"Marseille, ",30,",  D(C)  ",20(1),1729	,-	,0.3	,45.3	,88.1	,0.2	,0.9	,-	,6.85
Joris Chotard,"Montpellier, ",22,",  DMC  ",30(1),2594	,3	,0.5	,36.7	,83.2	,0.3	,3.3	,0.2	,6.84
Marquinhos,"PSG, ",30,",  D(CR),DMC  ",18(3),1540	,1	,0.4	,84.9	,94.5	,-	,3.5	,0.1	,6.84
Vincent Sierro,"Toulouse, ",28,",  M(C)  ",25(5),2265	,2	,1.1	,39.8	,82	,1.1	,2.6	,-	,6.83
Alexandre Oukidja,"Metz, ",35,",  GK  ",34,2988	,-	,-	,25.7	,44.9	,-	,6.6	,-	,6.83
Rayan Cherki,"Lyon, ",20,",  AM(CLR),FW  ",19(14),1723	,6	,1.3	,29.7	,81.1	,0.7	,1.8	,0.1	,6.83
Martin Terrier,"Rennes, ",27,",  AM(CL),FW  ",19(5),1533	,3	,0.7	,20.5	,80.2	,-	,0.6	,-	,6.83
Warren Zaïre-Emery,"PSG, ",18,",  DMC,M(R)  ",21(5),1963	,3	,0.8	,53.2	,92.4	,0.1	,1.1	,-	,6.83
Lucas Hernández,"PSG, ",28,",  D(CL)  ",23(4),1917	,1	,0.4	,63.3	,90.6	,-	,2.6	,-	,6.82
Désiré Doué,"Rennes, ",19,",  AM(CLR)  ",17(14),1626	,4	,1	,22.6	,79	,0.6	,1.2	,0.1	,6.82
Danilo Pereira,"PSG, ",32,",  D(C),DMC  ",22(4),1993	,-	,-	,85.2	,94.1	,-	,3.5	,-	,6.82
Rasmus Nicolaisen,"Toulouse, ",27,",  D(C)  ",33,2927	,-	,0.2	,50.7	,85	,-	,2.8	,-	,6.81
Moses Simon,"Nantes, ",28,",  M(CLR),FW  ",21(1),1794	,5	,1.3	,17.4	,75.9	,1	,0.6	,0.1	,6.80
Brice Samba,"Lens, ",30,",  GK  ",33,2970	,-	,0.1	,29.6	,75.7	,-	,6.6	,-	,6.80
Lucas Chevalier,"Lille, ",22,",  GK  ",33,2970	,-	,0.1	,32.2	,74.9	,-	,4.5	,-	,6.80
Benjamin Lecomte,"Montpellier, ",33,",  GK  ",30,2700	,1	,0.1	,28.8	,62.1	,-	,6.6	,-	,6.80
Gautier Lloris,"Le Havre, ",28,",  D(C)  ",31,2780	,-	,0.1	,44.7	,85.6	,-	,1.7	,-	,6.80
Vítinha,"Marseille, ",24,",  FW  ",10(8),922	,2	,1	,10.7	,77.1	,0.3	,0.2	,-	,6.79
Facundo Medina,"Lens, ",25,",  D(CL)  ",30(1),2714	,3	,0.8	,67.1	,87	,0.2	,3.2	,0.1	,6.79
Amine Gouiri,"Rennes, ",24,",  AM(CLR),FW  ",24(7),2076	,3	,0.7	,24.3	,82.6	,-	,0.4	,-	,6.79
Neto Borges,"Clermont Foot, ",27,",  D(CL),M(L)  ",28,2517	,1	,0.9	,41	,82.8	,0.5	,1.4	,-	,6.78
Przemyslaw Frankowski,"Lens, ",29,",  D(R),M(CLR)  ",24(6),2196	,2	,1.3	,33.6	,81.1	,0.7	,1.1	,0.1	,6.78
Fabián Ruiz,"PSG, ",28,",  M(CL)  ",14(7),1195	,3	,0.9	,41	,90.1	,0.1	,1.6	,-	,6.78
Kevin Danso,"Lens, ",25,",  D(C)  ",30,2656	,-	,0.3	,56.9	,88.1	,-	,2.7	,-	,6.78
Christian Mawissa,"Toulouse, ",19,",  D(C)  ",12(5),1116	,-	,0.2	,33.5	,84.5	,0.1	,0.9	,-	,6.77
Steve Mounié,"Brest, ",29,",  FW  ",20(12),1773	,2	,0.7	,13.8	,63	,0.1	,0.2	,-	,6.77
Randal Kolo Muani,"PSG, ",25,",  AM(CLR),FW  ",13(13),1265	,5	,1	,13.4	,73.1	,0.2	,0.2	,-	,6.77
Nabil Bentaleb,"Lille, ",29,",  M(C)  ",23(3),1968	,3	,0.5	,55.5	,86.3	,-	,4	,-	,6.77
