Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_x,Blocks,OwnG,KeyP,Drb_y,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,Value
https://www.whoscored.com/Players/64342/Show/Thomas-Kaminski,Thomas Kaminski,https://www.whoscored.com/Teams/95/Show/England-Luton,"Luton, ",31,",  GK  ",38,3406,-	,-	,3	,-	,-	,55.0,0.1	,-	,6.51,0.1	,-	,-	,-	,0.6	,0.1	,-	,-	,-	,0.1	,0.1	,-	,-	,-	,34.5,-	,8.2	,-	,€3.00m  
https://www.whoscored.com/Players/297577/Show/Adam-Ounas,Adam Ounas,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",27,",  AM(CLR),FW  ",3(14),408,1	,-	,-	,-	,0.5	,76.9,0.4	,-	,6.49,0.2	,0.4	,0.2	,-	,0.1	,0.3	,-	,-	,0.8	,0.9	,0.7	,0.1	,0.9	,0.8	,9.9,0.4	,0.5	,0.1	,€4.00m
https://www.whoscored.com/Players/313171/Show/R%C3%BAben-Dias,Rúben Dias,https://www.whoscored.com/Teams/167/Show/England-Man-City,"Man City, ",27,",  D(C)  ",28(2),2558,-	,-	,-	,-	,0.7	,94.1,1.6	,-	,6.83,1.3	,1	,0.8	,0.6	,2.5	,0.2	,0.6	,1	,0.2	,-	,0.5	,-	,0.2	,0.3	,86.9,0.1	,2.8	,0.1	,€80.00m  
https://www.whoscored.com/Players/318449/Show/John-McGinn,John McGinn,https://www.whoscored.com/Teams/24/Show/England-Aston-Villa,"Aston Villa, ",29,",  M(CLR)  ",35,3010,6	,4	,9	,1	,1.1	,82.7,0.3	,3	,6.98,1.7	,0.6	,1.1	,0.1	,0.5	,1.3	,0.1	,-	,1.3	,1.5	,2	,0.1	,1.7	,1.6	,32.6,0.7	,2.1	,0.2	,€30.00m  
https://www.whoscored.com/Players/379252/Show/Jamie-Leweling,Jamie Leweling,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",23,",  M(CR),FW  ",17(17),1523,4	,4	,3	,-	,1.3	,82.5,0.1	,-	,6.53,0.5	,0.1	,0.6	,-	,0.4	,0.4	,-	,-	,0.7	,0.8	,0.7	,0.2	,1.1	,1.4	,15.8,0.4	,0.3	,-	,€9.00m  
https://www.whoscored.com/Players/422957/Show/Fran-Garc%C3%ADa,Fran García,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",24,",  D(L)  ",15(10),1397,1	,5	,2	,-	,0.4	,88.8,0.3	,-	,6.58,1	,0.8	,0.4	,-	,0.6	,0.7	,0.1	,-	,0.6	,0.3	,0.6	,0.4	,0.3	,0.9	,32.5,0.4	,0.8	,-	,€15.00m  
https://www.whoscored.com/Players/298659/Show/Harry-Toffolo,Harry Toffolo,https://www.whoscored.com/Teams/174/Show/England-Nottingham-Forest,"Nottingham Forest, ",28,",  D(L),M(L)  ",15(8),1456,1	,3	,3	,-	,0.3	,76.2,1.1	,-	,6.5,1.1	,0.6	,0.7	,-	,1.9	,0.4	,0.6	,-	,0.8	,-	,0.1	,-	,0.2	,0.3	,19.4,0.7	,0.7	,-	,€5.00m  
https://www.whoscored.com/Players/357811/Show/Yacine-Adli,Yacine Adli,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",23,",  M(C)  ",17(7),1413,1	,2	,3	,-	,0.2	,88.8,0.6	,1	,6.74,1.4	,0.8	,1.1	,-	,0.6	,0.9	,0.3	,-	,0.9	,0.9	,0.4	,-	,0.4	,0.8	,51.7,0.7	,3.3	,-	,€15.00m  
https://www.whoscored.com/Players/349960/Show/Mahdi-Camara,Mahdi Camara,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",26,",  D(CR),M(C)  ",26(6),2039,7	,3	,7	,-	,1.3	,84.0,1	,2	,6.86,1.7	,0.8	,1.2	,-	,0.6	,0.9	,-	,-	,1	,0.5	,1.2	,0.1	,0.7	,1.2	,25.1,0.4	,0.8	,-	,€10.00m  
https://www.whoscored.com/Players/201755/Show/Joelinton,Joelinton,https://www.whoscored.com/Teams/23/Show/England-Newcastle,"Newcastle, ",27,",  AM(CLR),FW  ",15(5),1281,2	,1	,6	,-	,1	,83.9,0.9	,1	,6.75,2	,1	,1.4	,-	,0.5	,1.2	,0.4	,-	,1.2	,0.9	,1.2	,-	,1.4	,1.1	,30.8,-	,0.6	,0.2	,€40.00m  
