Name,Value
Zan Majer,€800k  
César Falletti,€800k  
Giacomo Calò,€800k  
Fabio Ponsi,€800k  
Andrea Ghion,€800k  
Lisandru Tramoni,€800k  
Stefano Scognamillo,€800k  
Riccardo Gagno,€800k  
Andrea Giorgini,€800k  
Matias Antonini,€800k  
Stefano Moreo,€800k  
Alessio Vita,€800k  
Raphael Odogwu,€800k  
Mirko Pigliacelli,€800k  
Rachid Kouda,€800k  
Alexander Jallow,€750k  
Massimo Bertagnoli,€750k  
Simon Graves,€750k  
Alessio Buttaro,€750k  
Mattia Maita,€750k  
Simone Davi,€750k  
Natan Girma,€750k  
Petko Hristov,€750k  
Matteo Cotali,€750k  
Pajtim Kasami,€700k  
Michael Venturi,€700k  
Cedric Gondo,€700k  
Przemyslaw Szyminski,€700k  
Lorenzo Carissoni,€700k  
Hjörtur Hermannsson,€700k  
Andrea Fulignati,€700k  
Giuseppe Aurelio,€700k  
Luca Pandolfi,€650k  
Luca Vignali,€650k  
Enrico Baldini,€650k  
Nicola Pavan,€650k  
Marco Pompetti,€650k  
Shady Oukhadda,€650k  
Flavio Bianchi,€650k  
Cristian Buonaiuto,€650k  
Andrea Meroni,€600k  
Maxime Leverbe,€600k  
Jacopo Petriccione,€600k  
Silvio Merkaj,€600k  
Francesco Cassata,€600k  
Mario Sampirisi,€600k  
Michele Besaggio,€600k  
Luigi Canotto,€600k  
Giuseppe Carriero,€600k  
Mario Gargiulo,€550k  
Simone Branca,€550k  
Antonio Barreca,€500k  
Samuel Ntanda,€500k  
Davide Adorni,€500k  
Ernesto Torregrossa,€500k  
Gabriele Piccinini,€500k  
Jasmin Kurtic,€500k  
Alex Ferrari,€500k  
Luca Tremolada,€500k  
Giacomo Ricci,€500k  
Gregorio Morachioli,€500k  
Domenico Frare,€500k  
Filippo Pittarello,€500k  
Francesco Amatucci,€500k  
Fabio Abiuso,€500k  
Alessandro Micai,€500k  
Matteo Angeli,€500k  
Diego Falcinelli,€500k  
Matteo Bianchetti,€500k  
Edoardo Soleri,€500k  
Luca Vido,€500k  
Dimitrios Sounas,€500k  
Thomas Battistella,€500k  
Michele Castagnetti,€500k  
Kleis Bozhanaj,€450k  
Karlo Lulic,€450k  
Patrick Nuamah,€450k  
Costantino Favasuli,€450k  
Giacomo Olzer,€450k  
Gianluca Saro,€400k  
Ismail Achik,€400k  
Edoardo Sottini,€400k  
Luca Lezzerini,€400k  
Ahmad Benali,€400k  
Raffaele Maiello,€400k  
Mario Situm,€400k  
Stefano Girelli,€400k  
Simone Pontisso,€400k  
Paolo Rozzio,€400k  
Riccardo Fogliata,€400k  
Salvatore Molina,€400k  
Luca Strizzolo,€400k  
Hemsley Akpa-Chukwu,€400k  
Edoardo Duca,€400k  
Filippo Romagna,€400k  
Luka Krajnc,€400k  
Marco Pissardo,€400k  
Matteo Stoppa,€400k  
Artur Ioniță,€400k  
Lorenzo Di Stefano,€400k  
Álex Blanco,€350k  
Cristian Cauz,€350k  
Filippo Sgarbi,€350k  
Alessandro Mallamo,€350k  
Enrico Brignola,€350k  
Pietro Martino,€350k  
Luca Ceppitelli,€350k  
