Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Armand Laurienté,"Sassuolo, ",25,",  AM(LR),FW  ",35(2),2929	,5	,4	,2.3	,1.3	,1.7	,1.5	,0.1	,1.5	,2.2	,6.75
Vanja Milinkovic-Savic,"Torino, ",27,",  GK  ",36,3240	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.74
Yacine Adli,"AC Milan, ",23,",  M(C)  ",17(7),1413	,1	,2	,0.2	,0.9	,0.9	,0.4	,-	,0.4	,0.8	,6.74
Ivan Provedel,"Lazio, ",30,",  GK  ",30,2700	,-	,-	,-	,-	,-	,0.2	,-	,-	,-	,6.74
Luca Mazzitelli,"Frosinone, ",28,",  DMC  ",26(3),2223	,5	,-	,1.7	,0.4	,0.4	,1.3	,-	,0.8	,0.8	,6.74
Matteo Ruggeri,"Atalanta, ",21,",  M(L)  ",28(6),2470	,-	,4	,0.4	,0.7	,0.6	,0.3	,0.1	,0.3	,0.9	,6.74
Giovanni Di Lorenzo,"Napoli, ",30,",  D(CLR),M(R)  ",36,3235	,1	,6	,1	,1.4	,0.5	,1	,0.1	,0.6	,0.8	,6.73
Cristiano Biraghi,"Fiorentina, ",31,",  D(L),M(L)  ",27(2),2359	,2	,5	,0.6	,1.6	,0.1	,0.5	,-	,0.2	,0.5	,6.73
Andrea Colpani,"Monza, ",25,",  AM(CR)  ",36(2),2685	,8	,4	,1.7	,1.5	,0.7	,1.2	,0.1	,1	,1.4	,6.73
Ismaël Bennacer,"AC Milan, ",26,",  M(C)  ",13(7),1151	,2	,2	,0.6	,0.9	,0.9	,1.3	,0.1	,0.9	,0.9	,6.72
Alessio Romagnoli,"Lazio, ",29,",  D(CL)  ",26(3),2410	,-	,-	,0.4	,0.2	,-	,0.7	,-	,-	,0.3	,6.72
Frank Anguissa,"Napoli, ",28,",  M(C)  ",32(2),2792	,-	,2	,1	,1.1	,0.7	,1.1	,0.1	,0.9	,1.6	,6.72
Leandro Paredes,"Roma, ",30,",  DMC  ",32(2),2646	,3	,5	,0.9	,0.8	,0.2	,1	,-	,0.3	,0.4	,6.72
Wladimiro Falcone,"Lecce, ",29,",  GK  ",38,3420	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.71
Josep Martínez,"Genoa, ",26,",  GK  ",36,3240	,-	,-	,-	,-	,0.1	,0.3	,-	,-	,-	,6.71
Piotr Zielinski,"Napoli, ",30,",  M(CLR)  ",23(5),1939	,3	,2	,1.1	,1.7	,0.6	,0.6	,-	,0.5	,0.8	,6.71
Wojciech Szczesny,"Juventus, ",34,",  GK  ",35,3150	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.70
Nehuén Pérez,"Udinese, ",24,",  D(C)  ",36,3240	,-	,-	,0.6	,0.2	,0.3	,0.5	,-	,0.2	,0.5	,6.70
Matteo Darmian,"Inter, ",34,",  D(CLR),M(LR)  ",27(6),2417	,2	,1	,0.3	,0.7	,0.2	,0.3	,-	,-	,0.5	,6.69
Carlos Augusto,"Inter, ",25,",  D(CL),M(L)  ",14(23),1705	,-	,3	,0.6	,0.5	,0.3	,0.2	,-	,0.4	,0.6	,6.69
Denzel Dumfries,"Inter, ",28,",  D(R),M(R)  ",19(12),1643	,4	,4	,0.8	,0.9	,0.5	,0.6	,0.2	,0.3	,0.9	,6.69
Alfred Duncan,"Fiorentina, ",31,",  DMC  ",24(6),1899	,2	,5	,0.8	,1.2	,0.7	,0.5	,0.1	,0.6	,0.6	,6.69
Filip Kostic,"Juventus, ",31,",  M(LR),FW  ",26(3),1834	,-	,4	,0.7	,1.4	,0.2	,0.6	,0.2	,0.6	,1	,6.69
Diego Coppola,"Verona, ",20,",  D(C)  ",18(6),1636	,2	,-	,0.5	,0.2	,-	,0.2	,-	,0.1	,0.3	,6.69
Andrea Carboni,"Monza, ",23,",  D(CL)  ",16(5),1490	,1	,-	,0.9	,0.4	,0.1	,0.2	,-	,0.1	,0.7	,6.68
Simone Romagnoli,"Frosinone, ",34,",  D(C)  ",30(3),2716	,1	,1	,0.4	,0.1	,-	,0.2	,-	,-	,0.1	,6.68
Milan Badelj,"Genoa, ",35,",  M(C)  ",32(1),2555	,1	,3	,0.6	,0.5	,0.5	,0.4	,-	,0.6	,0.9	,6.68
Alessandro Florenzi,"AC Milan, ",33,",  D(LR),M(CLR)  ",19(12),1732	,1	,4	,1	,1.5	,-	,0.3	,0.1	,0.2	,0.5	,6.68
Antonio Candreva,"Salernitana, ",37,",  M(CLR)  ",32(2),2760	,6	,6	,1.9	,1.8	,0.4	,1.3	,0.6	,0.5	,0.9	,6.68
Arthur,"Fiorentina, ",27,",  DMC  ",23(10),1998	,2	,3	,0.4	,1	,0.3	,1.4	,-	,0.5	,0.4	,6.67
Roberto Gagliardini,"Monza, ",30,",  DMC  ",29(4),2368	,1	,2	,1.1	,0.6	,0.2	,0.6	,-	,0.4	,0.8	,6.67
Federico Gatti,"Juventus, ",26,",  D(C)  ",30(2),2641	,4	,-	,1.1	,0.3	,0.3	,0.5	,-	,0.4	,0.8	,6.67
Fabiano Parisi,"Fiorentina, ",23,",  D(LR)  ",16(5),1454	,-	,1	,0.6	,0.8	,1.1	,1.8	,-	,0.8	,1.2	,6.66
Lukasz Skorupski,"Bologna, ",33,",  GK  ",32,2880	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.66
Lorenzo Montipò,"Verona, ",28,",  GK  ",37,3330	,-	,1	,-	,-	,-	,0.1	,-	,-	,0.1	,6.65
Nikola Milenkovic,"Fiorentina, ",26,",  D(CR)  ",27(7),2506	,-	,-	,0.3	,0.2	,0.1	,0.7	,-	,0.1	,0.2	,6.65
Tomás Suslov,"Verona, ",22,",  M(CLR)  ",23(9),2099	,3	,5	,1.6	,0.9	,1.2	,1.8	,-	,1.1	,1.8	,6.65
Mateo Retegui,"Genoa, ",25,",  FW  ",26(3),2226	,7	,2	,2.2	,0.4	,0.5	,0.9	,0.1	,1.4	,2.8	,6.65
Evan Ndicka,"Roma, ",24,",  D(CL)  ",25,2171	,-	,3	,0.4	,0.2	,0.1	,0.6	,-	,0.2	,0.3	,6.65
Giangiacomo Magnani,"Verona, ",28,",  D(C)  ",27(6),2442	,-	,-	,0.3	,0.2	,0.2	,0.9	,-	,0.1	,0.5	,6.64
Valentin Gendrey,"Lecce, ",24,",  D(R)  ",35(2),3052	,2	,3	,0.5	,0.6	,0.4	,1.1	,0.1	,0.5	,1	,6.64
Remi Oudin,"Lecce, ",27,",  M(CLR),FW  ",21(10),1828	,3	,2	,1.1	,1.9	,0.1	,0.4	,0.1	,0.6	,0.7	,6.64
Juan Cabal,"Verona, ",23,",  D(L)  ",17(5),1497	,-	,-	,0.5	,0.5	,0.5	,0.7	,-	,0.5	,1	,6.64
Walace,"Udinese, ",29,",  DMC  ",37,3245	,2	,-	,0.7	,0.6	,0.4	,1.2	,-	,0.7	,1.5	,6.64
Andrea Cambiaso,"Juventus, ",24,",  D(LR),M(LR)  ",28(6),2389	,2	,3	,0.9	,1.1	,0.8	,0.6	,0.1	,0.6	,1.1	,6.64
Ricardo Rodríguez,"Torino, ",31,",  D(CL),M(L)  ",34(1),2783	,1	,2	,0.3	,0.6	,0.2	,0.3	,-	,0.1	,0.3	,6.64
Nicolò Rovella,"Lazio, ",22,",  DMC  ",16(7),1324	,-	,2	,0.2	,0.4	,0.4	,0.7	,-	,0.5	,0.8	,6.64
Victor Kristiansen,"Bologna, ",21,",  D(L)  ",26(6),2312	,-	,3	,0.2	,0.7	,0.3	,0.2	,-	,0.2	,0.4	,6.64
Diego Llorente,"Roma, ",30,",  D(C),DMC  ",26(3),2180	,1	,1	,0.3	,0.1	,0.1	,0.8	,-	,0.1	,0.3	,6.64
Ondrej Duda,"Verona, ",29,",  M(C),FW  ",29(3),2465	,1	,4	,0.8	,1.7	,0.7	,1.6	,-	,0.8	,1.5	,6.63
Davide Calabria,"AC Milan, ",27,",  D(LR),M(R)  ",26(3),2196	,1	,3	,0.7	,0.4	,0.2	,0.7	,-	,0.3	,0.7	,6.63
Nicolas Viola,"Cagliari, ",34,",  M(C)  ",11(15),1203	,5	,2	,1.5	,1.3	,0.6	,1	,0.1	,0.9	,1.4	,6.63
Thomas Thiesson Kristensen,"Udinese, ",22,",  D(C)  ",23(3),2097	,-	,1	,0.4	,0.2	,0.4	,0.3	,-	,0.2	,0.7	,6.63
Michael Folorunsho,"Verona, ",26,",  M(C)  ",33(1),2794	,5	,1	,1.4	,0.5	,0.6	,2.2	,0.3	,1.1	,1.8	,6.63
Emil Holm,"Atalanta, ",24,",  M(R)  ",12(10),950	,1	,1	,1.2	,0.2	,0.8	,1	,-	,0.8	,1.6	,6.63
Nikola Vlasic,"Torino, ",26,",  AM(CLR),FW  ",30(3),2615	,3	,2	,1.4	,1.1	,0.8	,1.1	,0.3	,1.1	,1.7	,6.62
Daichi Kamada,"Lazio, ",27,",  AM(CLR),FW  ",17(12),1546	,2	,2	,1	,0.8	,0.5	,0.4	,0.1	,0.5	,0.9	,6.62
Gianluca Mancini,"Roma, ",28,",  D(C),DMC  ",34(2),2874	,4	,1	,0.5	,0.3	,0.1	,0.9	,-	,0.3	,0.1	,6.62
Matteo Pessina,"Monza, ",27,",  M(CR)  ",37,3228	,6	,3	,0.7	,0.7	,0.4	,1.2	,-	,0.5	,1.5	,6.61
Stanislav Lobotka,"Napoli, ",29,",  DMC  ",38,3295	,-	,1	,0.4	,0.6	,0.4	,1.1	,-	,0.3	,0.7	,6.61
Andrea Pinamonti,"Sassuolo, ",25,",  FW  ",37(1),3100	,11	,1	,2.2	,0.5	,0.3	,1.3	,0.2	,1	,1.7	,6.61
Pontus Almqvist,"Lecce, ",25,",  AM(LR),FW  ",25(5),2115	,2	,1	,1.3	,0.9	,1.2	,1.2	,-	,1.3	,2	,6.61
Patrick Ciurria,"Monza, ",29,",  M(CLR)  ",18(4),1602	,-	,1	,1.3	,1.4	,0.4	,0.6	,0.2	,0.3	,0.9	,6.60
Davide Zappacosta,"Atalanta, ",32,",  D(LR),M(LR)  ",23(8),1878	,2	,1	,1.2	,0.5	,0.5	,0.5	,0.1	,0.5	,0.9	,6.60
Leo Østigård,"Napoli, ",24,",  D(C)  ",19(7),1624	,1	,-	,0.3	,0.1	,0.1	,0.5	,-	,0.1	,0.2	,6.60
Pawel Dawidowicz,"Verona, ",29,",  D(C)  ",25(3),2144	,-	,-	,0.3	,0.1	,0.1	,0.3	,-	,0.2	,0.5	,6.60
