Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Kristian Thorstvedt,"Sassuolo, ",25,",  M(C)  ",30(4),2413	,6	,1	,1.2	,1.1	,0.4	,1.1	,-	,1.1	,1.6	,6.60
Leonardo Spinazzola,"Roma, ",31,",  D(LR),M(L)  ",15(9),1313	,1	,2	,0.3	,1.1	,0.8	,0.3	,-	,0.2	,0.7	,6.60
Sead Kolasinac,"Atalanta, ",31,",  D(CL),DMC,M(L)  ",25(5),2183	,1	,-	,0.4	,0.3	,0.2	,0.7	,-	,0.3	,0.6	,6.59
Riccardo Sottil,"Fiorentina, ",25,",  AM(LR)  ",13(9),1110	,2	,3	,1.5	,0.6	,1	,1.5	,0.3	,1.1	,1.2	,6.59
Suat Serdar,"Verona, ",27,",  M(CLR)  ",19(6),1665	,-	,2	,0.9	,0.7	,0.7	,0.7	,-	,0.5	,0.8	,6.59
Malick Thiaw,"AC Milan, ",22,",  D(C)  ",19(2),1621	,-	,1	,0.2	,0.2	,0.4	,0.3	,-	,0.2	,0.3	,6.59
Nikola Krstovic,"Lecce, ",24,",  FW  ",30(5),2391	,7	,1	,2.6	,1.2	,0.8	,1.5	,0.4	,1.1	,2.9	,6.59
Florian Thauvin,"Udinese, ",31,",  M(CLR),FW  ",19(10),1717	,5	,3	,1.7	,1.3	,1.2	,0.9	,0.2	,1.2	,2	,6.58
Sebastian Walukiewicz,"Empoli, ",24,",  D(C)  ",23(4),2056	,-	,-	,0.1	,0.1	,0.3	,0.3	,0.1	,0.1	,0.6	,6.58
Marin Pongracic,"Lecce, ",26,",  D(C)  ",36,3220	,-	,-	,0.4	,0.3	,0.4	,0.6	,-	,0.1	,0.4	,6.58
Pablo Marí,"Monza, ",30,",  D(C)  ",30(4),2618	,-	,-	,0.2	,0.1	,0.1	,0.3	,-	,0.1	,0.2	,6.58
Sebastiano Luperto,"Empoli, ",27,",  D(CL)  ",38,3407	,1	,1	,0.5	,0.3	,0.2	,0.5	,-	,-	,0.3	,6.58
Antonino Gallo,"Lecce, ",24,",  D(L)  ",30(5),2504	,-	,3	,0.4	,1.3	,0.5	,0.5	,0.1	,0.4	,0.8	,6.58
Alessandro Vogliacco,"Genoa, ",25,",  D(C)  ",14(6),1175	,-	,1	,0.3	,0.7	,0.2	,0.2	,0.1	,0.2	,0.4	,6.58
Juan Jesus,"Napoli, ",33,",  D(CL)  ",23(1),2118	,1	,-	,0.3	,0.2	,-	,0.4	,-	,0.1	,0.3	,6.58
Mattia Bani,"Genoa, ",30,",  D(C)  ",27,2310	,2	,-	,0.3	,0.1	,-	,1	,0.1	,0.1	,0.4	,6.58
Stephan El Shaarawy,"Roma, ",31,",  M(CLR),FW  ",19(14),1740	,3	,4	,1.2	,0.6	,0.7	,0.8	,0.2	,0.5	,0.8	,6.57
Hassane Kamara,"Udinese, ",30,",  D(L),M(LR)  ",27(8),2241	,1	,1	,0.7	,0.6	,0.9	,0.2	,0.2	,0.5	,1	,6.57
Luca Ranieri,"Fiorentina, ",25,",  D(CL),M(L)  ",23(3),2068	,2	,1	,0.4	,0.3	,0.2	,0.4	,-	,-	,0.5	,6.57
Lorenzo Lucca,"Udinese, ",23,",  FW  ",30(7),2602	,8	,4	,1.6	,0.5	,0.3	,1.5	,0.6	,1.3	,2.3	,6.56
Danilo D'Ambrosio,"Monza, ",35,",  D(CLR),M(LR)  ",16(8),1535	,-	,-	,0.6	,0.2	,0.3	,0.5	,-	,0.2	,0.5	,6.56
Valentín Castellanos,"Lazio, ",25,",  AM(R),FW  ",16(19),1676	,4	,3	,1.5	,0.5	,0.3	,0.9	,0.6	,0.6	,1.5	,6.56
Samuele Ricci,"Torino, ",22,",  AM(C)  ",28(4),2407	,1	,2	,0.9	,0.8	,0.3	,1.4	,0.1	,0.4	,0.6	,6.56
