Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/83532/Show/Harry-Kane,Harry Kane,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,"Bayern, ",30,",  AM(C),FW  ",32,2844	,36	,8	,2	,-	,4.6	,73.6	,0.9	,8	,7.82
https://www.whoscored.com/Players/351339/Show/Ermedin-Demirovic,Ermedin Demirovic,https://www.whoscored.com/Teams/1730/Show/Germany-Augsburg,"Augsburg, ",26,",  AM(CL),FW  ",33,2881	,15	,9	,7	,-	,2.5	,66.5	,1.6	,3	,6.98
https://www.whoscored.com/Players/387125/Show/Maximilian-Beier,Maximilian Beier,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,"Hoffenheim, ",21,",  AM(LR),FW  ",29(4),2434	,16	,1	,-	,-	,2.5	,73.5	,0.6	,2	,6.98
https://www.whoscored.com/Players/115509/Show/Marvin-Ducksch,Marvin Ducksch,https://www.whoscored.com/Teams/42/Show/Germany-Werder-Bremen,"Werder Bremen, ",30,",  AM(C),FW  ",32(1),2713	,12	,9	,9	,-	,2.4	,66.4	,0.6	,2	,6.96
https://www.whoscored.com/Players/134946/Show/Jonathan-Tah,Jonathan Tah,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",28,",  D(C)  ",30(1),2633	,4	,1	,6	,-	,0.8	,94.7	,2	,-	,6.96
https://www.whoscored.com/Players/296768/Show/Waldemar-Anton,Waldemar Anton,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",27,",  D(CR),DMC  ",32(1),2888	,-	,3	,7	,-	,0.8	,89.3	,2.5	,1	,6.96
https://www.whoscored.com/Players/104058/Show/Niclas-F%C3%BCllkrug,Niclas Füllkrug,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",31,",  FW  ",27(2),2225	,12	,8	,1	,-	,1.8	,66.6	,2.3	,2	,6.96
https://www.whoscored.com/Players/413272/Show/Josip-Stanisic,Josip Stanisic,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",24,",  D(CR),M(R)  ",13(7),1257	,3	,1	,3	,-	,0.5	,90.7	,0.6	,3	,6.94
https://www.whoscored.com/Players/398374/Show/Enzo-Millot,Enzo Millot,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",21,",  M(C)  ",27(4),2256	,5	,4	,5	,-	,1.3	,86.7	,0.2	,-	,6.94
https://www.whoscored.com/Players/343435/Show/Ritsu-Doan,Ritsu Doan,https://www.whoscored.com/Teams/50/Show/Germany-Freiburg,"Freiburg, ",26,",  M(CLR),FW  ",26(4),2255	,7	,2	,2	,-	,1.2	,75.4	,0.7	,1	,6.93
https://www.whoscored.com/Players/262856/Show/Xaver-Schlager,Xaver Schlager,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",26,",  M(C)  ",29,2482	,-	,5	,7	,-	,0.7	,88.9	,0.8	,-	,6.93
