Silas Katompa Mvumpa
Karol Linetty
Koni De Winter
Jeffrey Schlupp
José Callejón
Lucas Hernández
Arnaud Kalimuendo
Johan Gastien
Florian Lejeune
Pablo Ibáñez
Ângelo
Suso
Nemanja Gudelj
Matteo Pessina
Marcos Acuña
Iliman Ndiaye
Julien Laporte
Takuma Asano
Jean-Daniel Akpa Akpro
Iker Muniain
Kevin Stöger
Senne Lynen
Mathías Olivera
Marco Brescianini
Takefusa Kubo
Kylian Mbappé
Moses Simon
Ibrahima Sissoko
Tommaso Augello
Loïc Négo
Bruno Guimarães
Dilane Bakwa
Charlie Taylor
Iván Alejo
Andrea Carboni
Johan Vásquez
Patric
Sofyan Amrabat
Razvan Marin
Manuel Riemann,0.121
Copete
Niklas Süle
Lennard Maloney
Ricard Sánchez
Moise Kean
Raúl García de Haro
Dominik Szoboszlai
Federico Bonazzoli
Ludovic Blas
Chancel Mbemba
Moritz Broschinski
Ricardo Rodríguez
Chukwubuikem Ikwuemesi
Mohamed Daramy
Sven Michel
Jordan Clark
Ross Barkley
Álvaro García
Benjamin Bourigeaud
Jon Guridi
Martín Payero
Marcin Bulka,0.5
Oleksandr Zinchenko
Guillermo Ochoa,0.048
Abakar Sylla
Josko Gvardiol
Victor Kristiansen
James Garner
Adam Hlozek
Gonzalo Melero
Angelo Stiller
Munir El Haddadi
Levi Colwill
Omar Marmoush
Pascal Stenzel
Jonathan David
Julian Weigl
Federico Dimarco
Felix Agu
Léo Leroy
Gonçalo Paciência
Ruben Aguilar
Carles Aleñá
Soungoutou Magassa
Anthony Losilla
Jonathan Burkardt
Florent Mollet
Martin Valjent
Abdel Abqar
Lukas Klostermann
Marc-André ter Stegen,0.536
Amari'i Bell
Antonee Robinson
Óscar Rodríguez
Emmanuel Gyasi
Ismaïla Sarr
Christian Nørgaard
Emmanuel Agbadou
Bartosz Bereszynski
Sander Berge
Jacob Bruun Larsen
Callum Hudson-Odoi
Pedro
Morten Frendrup
Arthur
Luca Netz
Phillipp Mwene
Jordan Siebatcheu
Vanderson
Christopher Jullien
Bart Verbruggen,0.19
Youri Tielemans
Emil Holm
Kobbie Mainoo
Eddie Nketiah
Gregor Kobel,0.259
Marvin Pieringer
Khvicha Kvaratskhelia
Anthony Elanga
Marco Reus
Christopher Opéri
Maxime Colin
Rasmus Højlund
Sergio Ruiz
Cole Palmer
Thomas Müller
Phillip Tietz
Josip Stanisic
Steffen Tigges
Benedict Hollerbach
Alphonse Areola,0.219
Orel Mangala
Jordy Makengo
Brajan Gruda
Arne Engels
Samuel Moutoussamy
