Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Logan Costa,"Toulouse, ",23,",  D(C)  ",29(2),2650	,1	,1	,0.5	,0.2	,0.2	,0.3	,-	,0.1	,0.6	,6.69
Étienne Youté,"Le Havre, ",22,",  D(C)  ",22,1943	,-	,-	,0.3	,0.1	,-	,0.2	,0.1	,0.1	,0.4	,6.69
Warmed Omari,"Rennes, ",24,",  D(C)  ",23(2),2072	,1	,-	,0.2	,0.2	,0.2	,0.5	,-	,0.3	,0.4	,6.68
Nicolas Pallois,"Nantes, ",36,",  D(C)  ",17(6),1586	,-	,1	,0.2	,0.1	,0.4	,0.3	,-	,0.1	,0.3	,6.68
Steve Mandanda,"Rennes, ",39,",  GK  ",34,3060	,-	,-	,-	,-	,-	,0.2	,-	,-	,-	,6.68
Alexsandro Ribeiro,"Lille, ",24,",  D(C)  ",24(5),2217	,-	,-	,0.6	,0.2	,0.1	,1.3	,-	,0.2	,0.5	,6.68
André Ayew,"Le Havre, ",34,",  M(CLR),FW  ",12(7),1105	,5	,-	,1.7	,0.4	,0.8	,1.4	,0.2	,1.1	,1.3	,6.68
Montassar Talbi,"Lorient, ",26,",  D(C)  ",25,2205	,-	,-	,0.2	,0.3	,0.4	,0.3	,-	,0.2	,0.9	,6.68
Stijn Spierings,"Toulouse, ",28,",  M(C)  ",16(6),1514	,-	,1	,0.5	,0.6	,0.2	,0.8	,-	,0.7	,0.6	,6.67
Niklas Schmidt,"Toulouse, ",26,",  M(C),FW  ",15(7),1273	,1	,1	,0.9	,1.3	,0.5	,0.5	,-	,0.4	,0.8	,6.67
Nicolás Tagliafico,"Lyon, ",31,",  D(CL),M(L)  ",25,2129	,3	,1	,0.6	,0.7	,0.2	,1.3	,-	,0.5	,0.5	,6.67
Mohamed Camara,"Monaco, ",24,",  DMC  ",14(6),1044	,1	,2	,0.7	,0.7	,0.5	,1.2	,-	,0.8	,0.8	,6.67
Baptiste Santamaría,"Rennes, ",29,",  DMC  ",22(8),1931	,-	,1	,0.9	,0.4	,0.5	,0.8	,-	,0.6	,0.9	,6.66
Becir Omeragic,"Montpellier, ",22,",  D(C),DMC  ",26(2),2313	,-	,-	,0.3	,0.4	,0.2	,0.6	,-	,0.1	,0.3	,6.66
Pau López,"Marseille, ",29,",  GK  ",33,2939	,-	,-	,-	,0.1	,-	,0.4	,-	,-	,-	,6.66
Darlin Yongwa,"Lorient, ",23,",  M(L)  ",11(11),1153	,1	,1	,0.7	,0.5	,1.2	,1.5	,0.1	,0.9	,1.2	,6.66
Corentin Tolisso,"Lyon, ",29,",  D(R),M(CR)  ",21(4),1752	,2	,1	,1.6	,1	,0.2	,0.9	,-	,0.9	,1	,6.65
Terem Moffi,"Nice, ",25,",  AM(R),FW  ",23(7),1961	,11	,2	,1.6	,0.7	,0.6	,0.6	,0.4	,1.1	,1.9	,6.65
Lucas Perrin,"Strasbourg, ",25,",  D(C)  ",30(1),2723	,-	,1	,0.4	,0.2	,0.2	,0.9	,-	,0.1	,0.5	,6.65
