Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Adam Smith,"Bournemouth, ",33,",  D(LR),M(LR)  ",25(3),2158	,-	,2	,0.1	,0.6	,0.1	,0.8	,-	,0.3	,0.5	,6.51
Emerson Royal,"Tottenham, ",25,",  D(CLR),M(R)  ",11(11),1155	,1	,-	,0.3	,0.1	,0.5	,1.7	,-	,0.5	,0.7	,6.51
Joël Veltman,"Brighton, ",32,",  D(CR),M(R)  ",17(10),1583	,1	,1	,0.2	,0.1	,-	,1.6	,-	,0.3	,0.8	,6.51
Zeki Amdouni,"Burnley, ",23,",  FW  ",27(7),1972	,5	,1	,1.4	,0.5	,0.9	,1.1	,0.1	,0.9	,2	,6.51
Thomas Kaminski,"Luton, ",31,",  GK  ",38,3406	,-	,-	,-	,-	,0.1	,0.1	,-	,-	,-	,6.51
Harry Toffolo,"Nottingham Forest, ",28,",  D(L),M(L)  ",15(8),1456	,1	,3	,0.3	,0.8	,-	,0.1	,-	,0.2	,0.3	,6.50
Tino Livramento,"Newcastle, ",21,",  D(LR)  ",12(14),1306	,1	,-	,0.2	,0.5	,0.7	,1.1	,-	,0.7	,0.7	,6.50
Amari'i Bell,"Luton, ",30,",  D(CL),M(L)  ",21,1722	,-	,-	,0.1	,0.4	,0.5	,0.8	,-	,0.2	,0.9	,6.50
Ryan Yates,"Nottingham Forest, ",26,",  DMC  ",21(14),1986	,1	,1	,0.9	,0.2	,0.1	,1.6	,0.1	,0.3	,0.7	,6.50
Victor Lindelöf,"Man Utd, ",29,",  D(CLR)  ",14(5),1333	,1	,1	,0.3	,0.4	,0.1	,0.1	,0.2	,0.2	,0.3	,6.50
Ryan Gravenberch,"Liverpool, ",22,",  DMC  ",12(14),1122	,1	,-	,0.9	,0.6	,0.9	,0.6	,-	,0.5	,1.8	,6.49
Jóhann Gudmundsson,"Burnley, ",33,",  M(CLR)  ",12(14),1194	,1	,3	,0.6	,1.3	,0.2	,0.8	,0.1	,0.6	,0.8	,6.49
Giovani Lo Celso,"Tottenham, ",28,",  M(CR),FW  ",4(18),498	,2	,2	,0.6	,0.8	,0.4	,1.2	,-	,0.3	,0.5	,6.49
Evan Ferguson,"Brighton, ",19,",  FW  ",15(12),1366	,6	,-	,1.2	,0.2	,0.3	,0.9	,0.2	,1.1	,1.5	,6.49
Neal Maupay,"Brentford, ",27,",  AM(C),FW  ",13(16),1317	,6	,3	,1.3	,0.5	,0.3	,0.9	,0.1	,0.8	,1	,6.48
Jeffrey Schlupp,"Crystal Palace, ",31,",  D(L),M(CLR)  ",17(12),1357	,2	,2	,0.7	,0.7	,0.6	,0.5	,-	,0.8	,1.4	,6.48
Facundo Buonanotte,"Brighton, ",19,",  AM(CR)  ",17(10),1370	,3	,1	,0.8	,0.7	,0.7	,1.5	,0.1	,1.2	,1.6	,6.47
Keane Lewis-Potter,"Brentford, ",23,",  M(CLR),FW  ",15(15),1442	,3	,1	,1.4	,0.4	,0.7	,0.6	,0.1	,0.6	,1	,6.47
Philip Billing,"Bournemouth, ",28,",  M(C),FW  ",13(16),1393	,2	,2	,1	,0.8	,0.4	,0.4	,-	,0.6	,0.9	,6.47
Curtis Jones,"Liverpool, ",23,",  AM(CL)  ",14(9),1168	,1	,1	,0.8	,0.5	,0.7	,0.6	,0.2	,1.4	,0.7	,6.47
Jayden Bogle,"Sheff Utd, ",23,",  D(R),M(R)  ",32(2),2795	,3	,-	,0.9	,0.3	,0.7	,0.6	,0.1	,0.8	,1.5	,6.47
Charlie Taylor,"Burnley, ",30,",  D(CL),M(L)  ",25(3),2332	,1	,1	,0.4	,0.5	,0.3	,0.6	,0.1	,0.4	,0.6	,6.47
