Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Wout Weghorst,"Hoffenheim, ",31,",  FW  ",24(4),1987	,3	,1.2	,20.2	,73	,-	,0.3	,0.2	,6.87
Thomas Müller,"Bayern, ",34,",  M(CLR),FW  ",20(11),1660	,9	,1.6	,23.2	,78.3	,0.4	,0.6	,0.2	,6.86
Atakan Karazor,"Stuttgart, ",27,",  D(C),DMC  ",31(2),2630	,4	,0.9	,57.2	,89.7	,0.1	,0.9	,0.1	,6.86
Willi Orbán,"RBL, ",31,",  D(C)  ",18(1),1583	,-	,0.4	,73.2	,89.7	,0.1	,2.6	,-	,6.86
Michael Zetterer,"Werder Bremen, ",28,",  GK  ",27,2430	,-	,0.1	,35.6	,76.8	,-	,8.3	,-	,6.85
Hiroki Ito,"Stuttgart, ",25,",  D(CL)  ",25(1),2232	,2	,0.7	,75.7	,89.4	,0.3	,3.2	,0.1	,6.85
Max Wöber,"Borussia M.Gladbach, ",26,",  D(CL)  ",24(1),2070	,3	,0.5	,56	,83.8	,0.4	,2.3	,-	,6.84
Mats Hummels,"Borussia Dortmund, ",35,",  D(C)  ",20(5),1583	,-	,0.4	,56.4	,89.3	,-	,4.2	,0.1	,6.84
Gregor Kobel,"Borussia Dortmund, ",26,",  GK  ",27,2366	,-	,-	,39.4	,81.9	,-	,5.9	,-	,6.84
Benjamin Sesko,"RBL, ",21,",  FW  ",17(14),1532	,2	,0.4	,10.4	,66.6	,-	,0.1	,0.1	,6.83
Leandro Barreiro,"Mainz, ",24,",  DMC  ",29(2),2607	,1	,0.6	,29.5	,73.9	,0.1	,1	,-	,6.83
Alassane Pléa,"Borussia M.Gladbach, ",31,",  AM(CLR),FW  ",24(3),1914	,4	,1.3	,26.9	,72.7	,0.3	,1.3	,0.2	,6.82
Brajan Gruda,"Mainz, ",20,",  AM(C)  ",19(9),1652	,3	,1.5	,19	,71.4	,0.4	,0.4	,0.1	,6.82
Phillip Tietz,"Augsburg, ",27,",  FW  ",31(3),2407	,4	,0.9	,15.4	,63.4	,-	,0.2	,-	,6.81
Florian Grillitsch,"Hoffenheim, ",28,",  D(C),M(CL)  ",25(5),2297	,6	,0.6	,57.5	,86	,0.2	,3.5	,0.1	,6.81
Kevin Behrens,"Union Berlin, ",33,",  FW  ",14(4),1266	,-	,0.9	,18.1	,65.5	,-	,0.8	,0.1	,6.81
Mohamed Simakan,"RBL, ",24,",  D(CR)  ",23(9),2140	,3	,0.5	,46.5	,86.3	,0.1	,1.8	,-	,6.79
Robin Hack,"Borussia M.Gladbach, ",25,",  AM(CLR),FW  ",14(15),1348	,2	,0.9	,16.4	,77.6	,0.6	,0.5	,0.1	,6.78
Frederik Rønnow,"Union Berlin, ",31,",  GK  ",33,2970	,-	,-	,34.5	,68.2	,-	,7.4	,-	,6.78
Pavel Kaderábek,"Hoffenheim, ",32,",  D(R),M(LR)  ",28(1),2421	,4	,1.3	,32.3	,71.2	,0.9	,1	,-	,6.78
Lukás Hrádecky,"Leverkusen, ",34,",  GK  ",33,2970	,-	,-	,21.7	,75.8	,-	,3.2	,-	,6.78
Amine Adli,"Leverkusen, ",24,",  AM(CLR),FW  ",8(15),892	,4	,0.9	,18.6	,82.9	,0.2	,0.1	,-	,6.78
Julian Ryerson,"Borussia Dortmund, ",26,",  D(LR),M(CLR)  ",20(1),1772	,1	,0.7	,46	,88.4	,0.4	,1.1	,-	,6.78
Lucas Höler,"Freiburg, ",30,",  AM(CLR),FW  ",26(7),2311	,2	,1	,21.8	,67.8	,0.2	,0.5	,0.1	,6.78
Edmond Tapsoba,"Leverkusen, ",25,",  D(C)  ",23(5),2085	,1	,0.3	,69.8	,91.4	,-	,2.5	,-	,6.78
Junior Dina Ebimbe,"Eintracht Frankfurt, ",23,",  M(CLR)  ",25(6),1972	,3	,0.6	,26.5	,76.2	,0.1	,0.5	,0.1	,6.77
Max Finkgräfe,"FC Koln, ",20,",  D(L)  ",18(6),1757	,-	,1	,26	,72.5	,0.5	,1.1	,-	,6.77
Julian Weigl,"Borussia M.Gladbach, ",28,",  D(C),DMC  ",31,2766	,3	,0.8	,47.2	,89.3	,-	,2.6	,0.1	,6.77
Michael Gregoritsch,"Freiburg, ",30,",  AM(CR),FW  ",19(13),1686	,4	,0.5	,13.3	,62.3	,0.1	,0.4	,-	,6.77
Maximilian Arnold,"Wolfsburg, ",30,",  M(CR)  ",27(3),2504	,1	,1.6	,48.8	,85.5	,1.1	,3.5	,-	,6.76
Ellyes Skhiri,"Eintracht Frankfurt, ",29,",  DMC  ",24(3),2170	,1	,0.7	,47.3	,84.4	,-	,1.8	,0.1	,6.76
Mathys Tel,"Bayern, ",19,",  Forward  ",6(24),1031	,5	,0.4	,12.7	,85	,0.3	,0.2	,-	,6.76
Patrik Schick,"Leverkusen, ",28,",  AM(R),FW  ",12(8),1065	,-	,0.5	,11.4	,79.8	,-	,0.1	,0.1	,6.76
Nico Elvedi,"Borussia M.Gladbach, ",27,",  D(CLR)  ",28(2),2485	,1	,0.1	,55.3	,88.8	,-	,1.3	,-	,6.76
Raphaël Guerreiro,"Bayern, ",30,",  D(L),M(CL)  ",13(7),1194	,-	,1.2	,46.1	,88.6	,0.8	,1.1	,-	,6.76
Jens Stage,"Werder Bremen, ",27,",  M(C)  ",26(4),2333	,1	,0.8	,33.9	,75	,0.1	,1.2	,-	,6.75
Eren Dinkçi,"FC Heidenheim, ",22,",  AM(CR)  ",33,2677	,4	,1.1	,21.8	,65.4	,0.6	,0.7	,-	,6.75
