Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/300713/Show/Kylian-Mbapp%C3%A9,Kylian Mbappé,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",25,",  AM(CLR),FW  ",24(5),2160	,27	,7	,4	,-	,4.1	,85.2	,-	,8	,7.71
https://www.whoscored.com/Players/457292/Show/Formose-Mendy,Formose Mendy,https://www.whoscored.com/Teams/146/Show/France-Lorient,"Lorient, ",23,",  D(C)  ",13(5),1255	,-	,-	,5	,-	,0.4	,79.9	,2.4	,-	,6.62
https://www.whoscored.com/Players/91978/Show/Geoffrey-Kondogbia,Geoffrey Kondogbia,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",31,",  D(C),DMC  ",15(11),1458	,-	,-	,3	,-	,0.3	,88	,0.7	,-	,6.62
https://www.whoscored.com/Players/294185/Show/Douglas-Augusto,Douglas Augusto,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",27,",  DMC  ",22(3),1783	,-	,-	,8	,-	,0.6	,87.9	,0.4	,-	,6.61
https://www.whoscored.com/Players/447449/Show/Guela-Dou%C3%A9,Guela Doué,https://www.whoscored.com/Teams/313/Show/France-Rennes,"Rennes, ",21,",  D(R)  ",13(11),1229	,-	,2	,1	,1	,0.6	,78.9	,0.8	,-	,6.61
https://www.whoscored.com/Players/447309/Show/Julien-Ponceau,Julien Ponceau,https://www.whoscored.com/Teams/146/Show/France-Lorient,"Lorient, ",23,",  AM(C)  ",27(5),2253	,3	,2	,5	,-	,1	,87.3	,0.3	,-	,6.61
https://www.whoscored.com/Players/300590/Show/Alban-Lafont,Alban Lafont,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",25,",  GK  ",28,2497	,-	,-	,2	,-	,-	,67.7	,0.4	,2	,6.61
https://www.whoscored.com/Players/377583/Show/Hicham-Boudaoui,Hicham Boudaoui,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",24,",  M(CR)  ",17(12),1613	,2	,-	,5	,-	,1	,86.5	,0.8	,1	,6.61
https://www.whoscored.com/Players/398301/Show/Adrien-Truffert,Adrien Truffert,https://www.whoscored.com/Teams/313/Show/France-Rennes,"Rennes, ",22,",  D(L),M(L)  ",24(6),2146	,1	,2	,6	,-	,0.7	,82.1	,0.7	,2	,6.61
https://www.whoscored.com/Players/329647/Show/Pablo-Rosario,Pablo Rosario,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",27,",  D(CR),DMC  ",21(9),2004	,-	,-	,4	,-	,0.5	,90	,1.2	,-	,6.61
https://www.whoscored.com/Players/330614/Show/Hugo-Magnetti,Hugo Magnetti,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",26,",  DMC  ",30(3),2355	,2	,-	,6	,-	,1.1	,89.1	,0.4	,-	,6.61
