Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Pavel Kaderábek,"Hoffenheim, ",32,",  D(R),M(LR)  ",28(1),2421	,1.1	,0.8	,0.6	,-	,2.1	,0.8	,0.3	,-	,6.78
Lukás Hrádecky,"Leverkusen, ",34,",  GK  ",33,2970	,-	,-	,-	,-	,0.5	,-	,-	,-	,6.78
Amine Adli,"Leverkusen, ",24,",  AM(CLR),FW  ",8(15),892	,0.7	,0.3	,0.6	,-	,0.2	,0.4	,0.1	,-	,6.78
Julian Ryerson,"Borussia Dortmund, ",26,",  D(LR),M(CLR)  ",20(1),1772	,2	,0.5	,0.9	,0.3	,1.4	,1	,0.3	,-	,6.78
Lucas Höler,"Freiburg, ",30,",  AM(CLR),FW  ",26(7),2311	,1	,0.5	,0.8	,-	,1	,0.6	,0.1	,-	,6.78
Edmond Tapsoba,"Leverkusen, ",25,",  D(C)  ",23(5),2085	,1.2	,0.9	,0.9	,0.2	,1.8	,0.3	,0.4	,-	,6.78
Junior Dina Ebimbe,"Eintracht Frankfurt, ",23,",  M(CLR)  ",25(6),1972	,1.4	,0.3	,1.6	,-	,1.1	,0.7	,0.2	,-	,6.77
Max Finkgräfe,"FC Koln, ",20,",  D(L)  ",18(6),1757	,2.7	,0.9	,0.8	,0.1	,1.3	,1.5	,0.4	,-	,6.77
Julian Weigl,"Borussia M.Gladbach, ",28,",  D(C),DMC  ",31,2766	,2.1	,1.5	,1.1	,-	,2	,0.8	,0.5	,-	,6.77
Michael Gregoritsch,"Freiburg, ",30,",  AM(CR),FW  ",19(13),1686	,0.5	,0.3	,0.5	,-	,0.8	,0.4	,0.1	,-	,6.77
Maximilian Arnold,"Wolfsburg, ",30,",  M(CR)  ",27(3),2504	,1.7	,0.8	,1.2	,0.1	,1.8	,1	,0.1	,-	,6.76
Ellyes Skhiri,"Eintracht Frankfurt, ",29,",  DMC  ",24(3),2170	,1.6	,1.4	,0.5	,0.1	,1.6	,0.6	,0.1	,-	,6.76
Mathys Tel,"Bayern, ",19,",  Forward  ",6(24),1031	,0.4	,0.2	,0.6	,-	,0.2	,0.1	,-	,-	,6.76
Patrik Schick,"Leverkusen, ",28,",  AM(R),FW  ",12(8),1065	,0.3	,0.1	,0.6	,-	,0.4	,0.2	,-	,-	,6.76
Nico Elvedi,"Borussia M.Gladbach, ",27,",  D(CLR)  ",28(2),2485	,1.1	,1.4	,0.4	,0.5	,4.8	,0.2	,0.8	,-	,6.76
Raphaël Guerreiro,"Bayern, ",30,",  D(L),M(CL)  ",13(7),1194	,1	,0.8	,0.2	,-	,0.3	,0.3	,0.1	,-	,6.76
Jens Stage,"Werder Bremen, ",27,",  M(C)  ",26(4),2333	,1.7	,0.8	,1.6	,0.1	,1.7	,1.1	,0.8	,-	,6.75
Eren Dinkçi,"FC Heidenheim, ",22,",  AM(CR)  ",33,2677	,1	,0.4	,0.8	,0.1	,0.5	,0.9	,0.1	,-	,6.75
Jonathan Burkardt,"Mainz, ",23,",  AM(CR),FW  ",18(3),1542	,0.6	,0.1	,0.9	,-	,0.1	,0.3	,0.1	,-	,6.75
Konrad Laimer,"Bayern, ",27,",  D(R),M(CR)  ",18(11),1770	,1.9	,0.6	,1	,0.1	,0.4	,1	,0.2	,-	,6.75
Lee Jae-Sung,"Mainz, ",31,",  AM(CLR),FW  ",24(5),2128	,1.1	,0.9	,0.7	,-	,0.7	,0.9	,0.1	,-	,6.75
Piero Hincapié,"Leverkusen, ",22,",  D(CL),M(L)  ",16(10),1484	,1.3	,0.5	,0.6	,0.3	,1.6	,0.2	,0.3	,-	,6.74
Iago,"Augsburg, ",27,",  D(L),M(L)  ",18(5),1625	,1.6	,0.8	,0.6	,0.3	,1.7	,0.7	,0.3	,-	,6.74
Willian Pacho,"Eintracht Frankfurt, ",22,",  D(C)  ",33,2970	,1.9	,1.4	,0.7	,0.5	,4.2	,0.7	,0.7	,-	,6.74
