Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Wilson Odobert,"Burnley, ",19,",  AM(CLR),FW  ",25(4),2109	,2	,1.1	,18.8	,79.4	,0.4	,0.3	,0.1	,6.62
Djordje Petrovic,"Chelsea, ",24,",  GK  ",22(1),1986	,-	,-	,30.7	,76.4	,-	,4	,-	,6.62
Jack Harrison,"Everton, ",27,",  AM(CLR),FW  ",25(4),2220	,3	,1	,18.4	,72.7	,0.5	,0.5	,0.1	,6.62
Anthony Elanga,"Nottingham Forest, ",22,",  AM(LR),FW  ",25(11),2434	,9	,0.9	,17.9	,75.3	,0.2	,0.2	,0.1	,6.62
Harvey Barnes,"Newcastle, ",26,",  AM(CL)  ",7(14),795	,3	,0.6	,12.1	,79.1	,0.1	,0.1	,-	,6.61
Gabriel Osho,"Luton, ",25,",  D(CR),DMC  ",21,1848	,-	,0.1	,33.4	,82.5	,-	,1.3	,-	,6.61
Kristoffer Ajer,"Brentford, ",26,",  D(CR),DMC  ",21(7),1836	,1	,0.4	,25.8	,75.9	,0.2	,1.1	,-	,6.61
Josh Brownhill,"Burnley, ",28,",  M(CR)  ",23(10),2253	,2	,1	,31.2	,80.3	,0.4	,1.3	,-	,6.61
Nicolás Domínguez,"Nottingham Forest, ",26,",  M(CL)  ",19(7),1505	,2	,0.4	,31.9	,85.4	,0.1	,1	,0.1	,6.61
Ola Aina,"Nottingham Forest, ",27,",  D(CLR),M(LR)  ",20(2),1701	,1	,0.5	,28.8	,79.9	,0.3	,0.9	,-	,6.61
Pau Torres,"Aston Villa, ",27,",  D(C)  ",27(2),2464	,-	,0.3	,61	,87.8	,0.1	,2.9	,-	,6.61
Dango Ouattara,"Bournemouth, ",22,",  D(L),M(LR)  ",12(18),1222	,2	,0.6	,14.9	,67.6	,0.3	,0.6	,-	,6.61
Joe Gomez,"Liverpool, ",27,",  D(CLR)  ",17(15),1779	,1	,0.7	,35.9	,86.2	,0.2	,1.5	,-	,6.60
Michail Antonio,"West Ham, ",34,",  D(R),M(CLR),FW  ",21(5),1711	,2	,0.3	,10.3	,64.6	,0.1	,0.3	,-	,6.60
Jonny Evans,"Man Utd, ",36,",  D(CL)  ",15(8),1396	,1	,0.3	,35.9	,87.9	,-	,0.7	,-	,6.60
Nélson Semedo,"Wolves, ",30,",  D(LR),M(R)  ",36,3091	,1	,0.7	,42.1	,80.9	,0.4	,1.3	,-	,6.60
Miguel Almirón,"Newcastle, ",30,",  AM(CLR),FW  ",23(10),1947	,1	,0.7	,23.2	,85.8	,0.1	,0.4	,0.1	,6.60
Takehiro Tomiyasu,"Arsenal, ",25,",  D(CLR)  ",10(12),1144	,1	,0.3	,27.6	,85.5	,0.2	,0.7	,-	,6.60
Wataru Endo,"Liverpool, ",31,",  DMC  ",20(9),1723	,-	,0.6	,45	,88.4	,0.1	,1	,0.1	,6.59
Elijah Adebayo,"Luton, ",26,",  FW  ",16(11),1419	,-	,0.5	,7.3	,72.6	,-	,-	,-	,6.59
Axel Disasi,"Chelsea, ",26,",  D(CR)  ",29(2),2581	,-	,0.1	,70.9	,90.6	,-	,1.5	,0.1	,6.58
Vladimír Coufal,"West Ham, ",31,",  D(R),M(R)  ",36,3140	,7	,0.9	,34.1	,73	,0.7	,1.1	,-	,6.58
Jakub Kiwior,"Arsenal, ",24,",  D(CL),DMC  ",11(9),946	,3	,0.3	,27.2	,85.8	,0.2	,1.1	,-	,6.58
Taiwo Awoniyi,"Nottingham Forest, ",26,",  FW  ",12(8),1047	,3	,0.5	,8.6	,73.8	,-	,0.1	,0.1	,6.58
Sander Berge,"Burnley, ",26,",  M(C)  ",34(3),3009	,2	,0.8	,41.8	,88.8	,-	,2.2	,0.1	,6.58
Gustavo Hamer,"Sheff Utd, ",27,",  D(R),M(C)  ",34(2),2924	,6	,1.9	,27.3	,73.5	,0.9	,1.2	,-	,6.58
Danny Welbeck,"Brighton, ",33,",  AM(CLR),FW  ",21(8),1707	,1	,0.8	,17.4	,83.2	,-	,-	,-	,6.58
Lyle Foster,"Burnley, ",23,",  FW  ",22(2),1908	,3	,0.8	,18.8	,68.1	,-	,0.4	,-	,6.57
Raphaël Varane,"Man Utd, ",31,",  D(C)  ",16(6),1374	,-	,-	,35.2	,89.3	,-	,1.3	,-	,6.57
Reece Burke,"Luton, ",27,",  D(CR)  ",20(2),1666	,4	,0.6	,31.1	,77.5	,0.2	,1.6	,-	,6.57
Odsonne Édouard,"Crystal Palace, ",26,",  AM(L),FW  ",17(13),1556	,-	,0.6	,11.2	,73.3	,0.1	,0.1	,-	,6.56
Konstantinos Mavropanos,"West Ham, ",26,",  D(CR)  ",16(3),1501	,-	,0.2	,33	,76.7	,-	,2.1	,-	,6.55
Marc Guéhi,"Crystal Palace, ",23,",  D(C)  ",23(2),2023	,1	,0.3	,52	,87.2	,-	,3.4	,-	,6.55
Justin Kluivert,"Bournemouth, ",25,",  AM(CLR),FW  ",26(6),1937	,1	,0.7	,11.9	,72.4	,0.2	,0.4	,-	,6.55
Issa Kaboré,"Luton, ",23,",  D(R),M(R)  ",21(3),1734	,2	,0.7	,22.5	,76	,0.6	,0.6	,-	,6.55
Danilo dos Santos de Oliveira,"Nottingham Forest, ",23,",  M(C)  ",20(9),1801	,2	,0.7	,25	,80.6	,0.1	,1.6	,-	,6.55
Toti Gomes,"Wolves, ",25,",  D(CL)  ",31(4),2779	,3	,0.2	,48.9	,82.8	,-	,1.3	,-	,6.55
Antony,"Man Utd, ",24,",  AM(R)  ",15(14),1324	,1	,0.8	,19.3	,80	,0.1	,0.4	,0.1	,6.54
David Raya,"Arsenal, ",28,",  GK  ",32,2880	,-	,-	,28.3	,70.8	,-	,4.5	,-	,6.54
Eddie Nketiah,"Arsenal, ",25,",  FW  ",10(17),1073	,2	,0.3	,7.7	,79.9	,-	,-	,0.1	,6.53
Illia Zabarnyi,"Bournemouth, ",21,",  D(C)  ",37,3330	,-	,0.2	,48.7	,81.6	,-	,3.5	,-	,6.53
Will Hughes,"Crystal Palace, ",29,",  M(CLR)  ",23(7),1899	,1	,0.7	,28.2	,85.1	,0.3	,0.3	,-	,6.53
Harry Wilson,"Fulham, ",27,",  AM(CLR)  ",16(19),1616	,6	,0.6	,16.6	,79.2	,0.3	,0.8	,0.1	,6.52
Tom Cairney,"Fulham, ",33,",  M(CR)  ",14(20),1480	,4	,0.8	,36.5	,90.3	,0.1	,1.2	,-	,6.52
Nathaniel Clyne,"Crystal Palace, ",33,",  D(CLR),M(R)  ",14(5),1339	,-	,0.2	,28.1	,84.2	,0.1	,1.4	,-	,6.52
Kurt Zouma,"West Ham, ",29,",  D(CR)  ",32(1),2841	,-	,0.1	,34.6	,83.9	,-	,2.1	,-	,6.52
Igor Julio,"Brighton, ",26,",  D(CL),M(L)  ",17(7),1638	,-	,0.3	,59	,93.6	,-	,1	,-	,6.52
Adam Smith,"Bournemouth, ",33,",  D(LR),M(LR)  ",25(3),2158	,2	,0.6	,27.4	,77.1	,0.6	,0.8	,0.1	,6.51
Emerson Royal,"Tottenham, ",25,",  D(CLR),M(R)  ",11(11),1155	,-	,0.1	,43.1	,91.2	,0.1	,0.9	,-	,6.51
Joël Veltman,"Brighton, ",32,",  D(CR),M(R)  ",17(10),1583	,1	,0.1	,30	,84.9	,-	,1.1	,-	,6.51
Zeki Amdouni,"Burnley, ",23,",  FW  ",27(7),1972	,1	,0.5	,14.4	,80.9	,-	,0.5	,0.1	,6.51
Thomas Kaminski,"Luton, ",31,",  GK  ",38,3406	,-	,-	,34.5	,55	,-	,8.2	,-	,6.51
Harry Toffolo,"Nottingham Forest, ",28,",  D(L),M(L)  ",15(8),1456	,3	,0.8	,19.4	,76.2	,0.7	,0.7	,-	,6.50
Tino Livramento,"Newcastle, ",21,",  D(LR)  ",12(14),1306	,-	,0.5	,26	,86.8	,0.2	,0.5	,-	,6.50
Amari'i Bell,"Luton, ",30,",  D(CL),M(L)  ",21,1722	,-	,0.4	,37.6	,79.6	,-	,1.4	,-	,6.50
Ryan Yates,"Nottingham Forest, ",26,",  DMC  ",21(14),1986	,1	,0.2	,23.3	,80.3	,-	,0.8	,-	,6.50
Victor Lindelöf,"Man Utd, ",29,",  D(CLR)  ",14(5),1333	,1	,0.4	,46.1	,89.5	,-	,1.4	,0.1	,6.50
