Name,Popularity
Andy Pelmard
Moïse Sahi
Koke,2
Stijn Spierings
Duje Caleta-Car
Folarin Balogun
Morten Thorsby
Moussa Diarra
Nicolás Tagliafico
Rubén Alcaraz
Isaak Touré
Christoph Zimmermann
Sebastiaan Bornauw
Jordan Zemura
Andrej Kramaric
Jamal Musiala,4
Mattia Zaccagni
Weston McKennie
Jeanuël Belocian
Kevin Behrens
Grigoris Kastanos
Cristian Gamboa
Edson Álvarez
Victor Boniface
Antony,3
Fabiano Parisi,1
Lucas Pires,1
Douglas Augusto
Ferland Mendy,3
Andrea Colpani
Rani Khedira
Rodrigo De Paul,3
Matthis Abline
Moussa Sissoko
Rasmus Kristensen
Axel Witsel,2
Nicolás Domínguez
Nahuel Molina,2
Manu Sánchez
Mostafa Mohamed
Ibrahim Sulemana
Nicola Sansone
Radu Dragusin
Gabriel Osho
Anthony Jung
Unai Simón,2
Pep Chavarría
Hakan Çalhanoglu,3
Lukás Hrádecky
Farès Chaïbi
Giovanni Simeone
Dominik Kohr
Duván Zapata
Marcos Llorente
Aiyegun Tosin
Manuel Akanji
Baptiste Santamaría
Yusuf Yazici
Vitinho
Bobby De Cordova-Reid
Oumar Diakité
Maximilian Beier
Facundo Buonanotte
Pedro Porro
Gonzalo Escalante
Paulo Azzi
Robert Andrich
Saël Kumbedi
Leo Østigård
Jeremy Toljan
Angelo Fulgini
Pawel Dawidowicz
Marcus Coco
Wahbi Khazri
Enzo Tchato
Elseid Hysaj
Robin Gosens
Aridane Hernández
Ilias Akhomach
Samuel Iling-Junior
Montassar Talbi
Diego Coppola
Tomás Soucek
Abdón Prats
João Palhinha
Nicolò Cambiaghi
Ilkay Gündogan,3
Gian Marco Ferrari
Andrea Pinamonti
Yann Sommer,2
Adrien Thomasson
Vedat Muriqi
Kieran Trippier,2
Tyrick Mitchell
Fikayo Tomori
Cristian Volpato
Giorgio Scalvini
Fabian Holland
Leonardo Pavoletti
Alfie Doughty
Luca Caldirola
Marc Cucurella,2
Pablo Barrios
Stefano Turati
Ezri Konsa
Randal Kolo Muani,2
Germán Pezzella
Viktor Tsyhankov
João Ferreira
José Arnaiz
Dani Ceballos,2
Lucas Chevalier
Anthony Gordon
Kurt Zouma
Cameron Archer
Nicolas Seiwald
Jesús Navas
Michail Antonio
Chiedozie Ogbene
Morgan Guilavogui
Stole Dimitrievski
Samuel Lino
Portu
Leon Goretzka
Dawid Kownacki
Mitchell Weiser
Anel Ahmedhodzic
Chris Ramos
Alessandro Buongiorno
Mathias Honsak
Nicolás González
Maximilian Kilman
Gabriel Magalhães
Craig Dawson
Florian Kainz
Hwang Hee-Chan
Miguel Almirón
Luca Ranieri
Guela Doué
Moritz Nicolas
José Ángel Carmona
Jan-Niklas Beste
Keane Lewis-Potter
Anton Stach
Charles De Ketelaere
Carlos Soler
Jan Schöppner
Willian José
Trent Alexander-Arnold,4
Manuel Gulde
Roger Martí
Eldor Shomurodov
Ismaël Bennacer
Caleb Okoli
Youssef En-Nesyri,2
Ardian Ismajli
Fali
Jens Stage
Rayan Cherki
Gustavo Hamer
Roberto Piccoli
Kike García
Ibrahim Salah
Marvin Senaya
Javi Muñoz
Willian
Bebé
Robin Zentner
Warren Zaïre-Emery
Isco,3
Dejan Kulusevski
Téji Savanier
Mario Lemina
Davide Frattesi
Jan Oblak,3
Tiago Santos
Tiémoué Bakayoko
Niklas Schmidt
Sargis Adamyan
Juan Miranda
Jonas Föhrenbach
Vitaly Janelt
Vicente Guaita
Eric García,2
Jan Paul van Hecke
Illia Zabarnyi
Adrien Rabiot,2
Luca de la Torre
Bradley Locko
Lucas Digne
Tim Skarke
Mama Baldé
Mikkel Damsgaard
Danley Jean Jacques
Gerard Gumbau
Andy Robertson,3
Wes Foderingham
Milan Skriniar,3
Matteo Prati
Marco Asensio
Marcus Thuram,3
Gerard Moreno,2
Mason Greenwood,3
Lewis Cook
Kai Havertz,4
Santi Comesaña
Jack Harrison
Dimitri Foulquier
Giorgos Kyriakopoulos
Matt Doherty
Elye Wahi
Angel Gomes
Billal Brahimi
Boubacar Kamara
Deiver Machado
Pablo Marí
Umut Tohumcu
Saúl Ñíguez,2
Marquinhos,3
Mohamed Camara
Václav Cerny
Pablo Sarabia
Silas Katompa Mvumpa
Karol Linetty
Koni De Winter
Jeffrey Schlupp
José Callejón
Lucas Hernández,3
Arnaud Kalimuendo
Johan Gastien
Florian Lejeune
Pablo Ibáñez
Ângelo
Suso
Nemanja Gudelj
Matteo Pessina
Marcos Acuña
Iliman Ndiaye
Julien Laporte
Takuma Asano
Jean-Daniel Akpa Akpro
Iker Muniain
Kevin Stöger
Senne Lynen
Mathías Olivera
Marco Brescianini
Takefusa Kubo
Kylian Mbappé,5
Moses Simon
Ibrahima Sissoko
Tommaso Augello
Loïc Négo
Bruno Guimarães,2
Dilane Bakwa
Charlie Taylor
Iván Alejo
Andrea Carboni
Johan Vásquez
Patric
Sofyan Amrabat,2
Razvan Marin
Manuel Riemann
Copete
Niklas Süle,2
Lennard Maloney
Ricard Sánchez
Moise Kean
Raúl García de Haro
Dominik Szoboszlai
Federico Bonazzoli
Ludovic Blas
Chancel Mbemba
Moritz Broschinski
Ricardo Rodríguez
Chukwubuikem Ikwuemesi
Mohamed Daramy
Sven Michel
Jordan Clark
Ross Barkley
Álvaro García
Benjamin Bourigeaud
Jon Guridi
Martín Payero
Marcin Bulka
Oleksandr Zinchenko
Guillermo Ochoa,2
Abakar Sylla
Josko Gvardiol
Victor Kristiansen
James Garner
Adam Hlozek
Gonzalo Melero
Angelo Stiller
Munir El Haddadi
Levi Colwill
Omar Marmoush
Pascal Stenzel
Jonathan David,2
Julian Weigl
Federico Dimarco,2
Felix Agu
Léo Leroy
Gonçalo Paciência
Ruben Aguilar
Carles Aleñá
Soungoutou Magassa
Anthony Losilla
Jonathan Burkardt
Florent Mollet
Martin Valjent
Abdel Abqar
Lukas Klostermann
Marc-André ter Stegen,4
Amari'i Bell
Antonee Robinson
Óscar Rodríguez
Emmanuel Gyasi
Ismaïla Sarr
Christian Nørgaard
Emmanuel Agbadou
Bartosz Bereszynski
Sander Berge
Jacob Bruun Larsen
Callum Hudson-Odoi,2
Pedro,2
Morten Frendrup
Arthur
Luca Netz
Phillipp Mwene
Jordan Siebatcheu
Vanderson
Christopher Jullien
Bart Verbruggen
Youri Tielemans,2
Emil Holm
Kobbie Mainoo
Eddie Nketiah
Gregor Kobel
Marvin Pieringer
Khvicha Kvaratskhelia,3
Anthony Elanga
Marco Reus,3
Christopher Opéri
Maxime Colin
Rasmus Højlund,3
Sergio Ruiz
Cole Palmer,4
Thomas Müller,4
Phillip Tietz
Josip Stanisic
Steffen Tigges
Benedict Hollerbach
Alphonse Areola,2
Orel Mangala
Jordy Makengo
Brajan Gruda
Arne Engels
Samuel Moutoussamy
Patrick Mainka
Ianis Hagi
Bartol Franjic
Sergio Herrera
Sardar Azmoun
Robert Lewandowski,4
Amine Gouiri
Kristoffer Ajer
Tommy Doyle
Divock Origi,2
Ethan Pinnock
Niels Nkounkou
João Gomes
José Gayà
Milan Badelj
Mads Roerslev
Ainsley Maitland-Niles
Bradley Barcola
Terem Moffi
Adam Lallana
Óscar De Marcos,2
Nabil Fekir,2
Xavi Simons,3
Nélson Semedo,2
Ismaël Doukouré
Eli Kroupi
Faride Alidou
Luka Jovic
Elijah Adebayo
Joakim Mæhle
Charalampos Lykogiannis
Pietro Terracciano
Alberto Grassi
Youssoufa Moukoko
Jake O'Brien
Fermín López
Robert Skov
Tosin Adarabioyo
Alex Král
Florian Sotoca
Morgan Gibbs-White
Walace
Frédéric Guilbert
Arthur Theate
Malo Gusto
Matty Cash
Ansgar Knauff
Bryan Cristante
David Pereira da Costa
Emre Can,2
Oliver Skipp
Daler Kuzyaev
Diogo Dalot,2
Maduka Okoye
Clinton Mata
Luca Pellegrini
Amine Adli
Nicolò Rovella
Becir Omeragic
Fabian Nürnberger
Thijs Dallinga
Djordje Petrovic
Manu Morlanes
Adrià Pedrosa
Khalil Fayad
Hans Hateboer
Mario Gila
Vanja Milinkovic-Savic
Leandro Paredes,2
Moi Gómez
Nathaniel Clyne
Francesco Gelli
Luis Díaz
Facundo Medina
Wojciech Szczesny,2
Beñat Prados
Henrikh Mkhitaryan,2
Noah Weißhaupt
Eric Choupo-Moting,2
Sergi Darder
Nicolò Casale
Miguel Gutiérrez
Jonathan Ikoné
Anthony Rouault
Jeremie Frimpong,3
Simon Kjær
Ivan Ilic
Jérémy Doku,3
Sergio Ramos,5
Beñat Turrientes
Daniel Boloca
Odsonne Édouard
Mika Mármol
Aïssa Laïdouni
James Tarkowski
Niklas Dorsch
Juan Jesus
Amadou Onana,2
Alexis Mac Allister
Tariq Lamptey
Mory Diaw
Kevin Mbabu
Memphis Depay,3
Diego Llorente
Largie Ramazani
Piotr Zielinski
Vinícius Júnior,5
Tomás Cvancara
Eren Dinkçi
Lorenzo Lucca
Cédric Zesiger
Kevin Paredes
Pau López
Felix Nmecha
Mateusz Wieteska
Thomas Thiesson Kristensen
Marius Bülter
Darlin Yongwa
Nico Williams,3
Kike Salas
Joshua Zirkzee
Simon Adingra
Marco Friedl
Samuel Chukwueze
Arouna Sangante
Dominic Solanke
Aitor Paredes
Rodri,4
Álvaro Morata,4
Alex Iwobi
Harry Wilson
Pablo Rosario
Héctor Bellerín
Douglas Luiz
Mathias Jensen
Lorenzo Pirola
Josué Casimir
Benjamin Lecomte
Danny Welbeck
Abde Rebbach
Pablo Torre
Léo Baptistão
Dani Rodríguez
Janis Blaswich
Lukasz Skorupski
Alessandro Vogliacco
Exequiel Palacios
Joshua Kimmich,4
Ousmane Dembélé,4
Cody Gakpo
